idMeal,Main Ingredient,Tags
52775,"[lasagna, lentils, zucchini, carrot]","[vegan, vegetarian, italian, pasta, lasagna, lentils, cheese,...]"
52835,"[Fettucine, Clotted cream, cream, parmesan]","[italian, fettuccine Alfredo, vegetarian, pasta, parmesan, cheese, cream sauce]"
52796,"[Chicken, squash, mushrooms]","[pasta, chicken, mushroom, cheese, parmesan, italian, Alfredo, Chicken Alfredo Primavera] "
53014,"[yeast, flour, mozzarella, cheese, tomato purée]","[italian, vegetarian, pizza, cheese, tomato purée, flour, oven baked, Margherita pizza, tomato, basil]"
52770,"[spaghetti, minced beef, tomatoes, onions] ","[italian, meat, pasta, beef, spaghetti, tomatoes, Spaghetti Bolognese, parmesan]"
52823,"[rice, white wine, wine, prawns, salmon]","[pescatarian, italian, seafood, rice, salmon, prawns, wine, salmon prawn risotto, risotto, seafood, prawn]"
52982,"[spaghetti, bacon, eggs, pecorino, cheese]","[italian, pasta, meat, bacon, cheese, eggs, spaghetti, carbonara]"
52771,"[penne, tomatoes, garlic, chili flakes]","[vegetarian, italian, pasta, penne, spicy, tomatoes, chili flakes, Spicy Arrabiata Penne]"
52773,"[salmon, soy sauce, sake]","[pescatarian, japanese, fish, salmon, pan fry, soy sauce, sake, teriyaki, honey teriyaki salmon, asian, seafood]"
53032,"[pork, pork chops, flour, eggs, breadcrumbs]","[japanese, meat, pork, pork chops, frying, tonkatsu, breading, asian]"
52831,"[chicken, potato starch, ginger, soy sauce, sake]","[japanese, meat, chicken, frying, soy sauce, sake, potato starch, chicken karaage]"
52871,"[udon, sesame oil, cabbage, spring onions]","[vegetarian, japanese, noodles, udon, sesame oil, cabbage, shiitake mushrooms, mushrooms, spring onions, yaki udon, asian]"
52820,[chicken breast],"[Japanese, rice, chicken, curry, dairy free, curry powder, frying, Katsu chicken curry, asian]"
52785,"[toor dal, dal, turmeric, ghee, tomatoes, cumin seeds, mustard seeds]","[vegan, vegetarian, indian, curry, toor dal, dal, dhal, dal fry, rice, turmeric, ghee, tomatoes, cumin seeds, mustard seeds]"
52806,"[chicken, lemons, paprika, red onions, spices]","[indian, meat, chicken, spicy, lemons, paprika, red onions, ginger, garlic, garam masala, cumin, chili powder, turmeric, tandoori, tandoori chicken]"
52868,"[tomatoes, kidney beans, ginger, coriander, spices]","[vegan, vegetarian, indian, curry, tomatoes, kidney beans, garlic, onions, ginger, coriander, cumin, rice, garam masala, paprika]"
52865,"[paneer, tomatoes, ginger, turmeric, coriander, chili, spices]","[vegetarian, indian, curry, paneer, ginger, cumin, turmeric, coriander, chili, tomatoes, peas, Matar paneer, paneer]"
52808,"[lamb, onion, tomato purée, greek yogurt, madras paste, spices]","[indian, meat, lamb, onion, garlic, ginger, paprika, cinnamon sticks, cardamom, cloves, lamb roganjosh, spicy, curry, madras paste, tomato purée, greek yogurt]"
52774,"[rice noodles, noodles, chicken, eggs, chinese broccoli, soy sauce]","[thai, Asian, meat, chicken, noodles, rice noodles, chinese broccoli, wok, stir fry, pad see ew]"
52814,"[chicken, potatoes, curry paste, green beans]","[thai, Asian, curry, meat, chicken, curry paste, coconut milk, potatoes, green beans, garlic, rice, Thai green curry]"
52827,"[beef, potatoes, peanuts, curry paste, coconut cream]","[thai, Asian, curry, rice, meat, beef, curry paste, coconut cream, potatoes, massaman beef curry, spicy, spices, nuts, peanuts]"
52945,"[chicken, water chestnuts, sake, peanuts]","[chinese, Asian, meat, chicken, sake, rice wine, soy sauce, nuts, Kung pao chicken, nuts, peanuts]"
52948,"[pork, wonton skins, celery, spring onions, carrots]","[chinese, Asian, dumplings, wonton, wonton skins, meat, pork, main dish, soy sauce]"
52955,"[chicken stock, mushroom, egg, peas]","[chinese, Asian, soup, chicken stock, peas, mushrooms, spring onions, egg drop soup] "
52949,"[pork, tomato purée, soy sauce]"," [chinese, Asian, pork, sweet and sour, coriander, rice, sweet and sour pork]"
52956,"[chicken, rice, ginger, ginger juice]","[chinese, Asian, soup, rice, chicken, ginger, spring onions, coriander, chicken congee, congee, main dish]"
52830,"[chicken, refried beans, taco shells, cheese]","[mexican, taco, chicken, cheese, avocado, tomatoes, beans,  chicken baked tacos]"
52870,"[chickpeas, tortillas, avocado, paprika, tomatoes, red onions, red wine vinegar]","[vegetarian, mexican, fajitas, chickpeas, pickling, tomatoes, red onions, avocadoes, chickpea fajitas]"
52765,"[enchilada sauce, chicken, cheese, tortillas]","[mexican, meat, chicken, casserole, enchilada sauce, cheese, tortillas, chicken enchilada casserole]"
52819,"[white fish, fish fillets, tortilla, cajun, cayenne pepper, avocado, salsa]","[pescatarian, mexican, fish, spicy, tacos, tortillas, fish taco]"
52826,"[beef, chorizo, plum tomatoes, onions] ","[braised beef chilli, beef, spices, spicy, mexican, braising, balsamic vinegar]"
52813,"[chicken, eggs, flour, brown sugar, spices]","[american, meat, chicken, frying, breading, spices, spicy, dairy-free]"
52829,"[macaroni, bread, cheese, milk, heavy cream]","[american, dairy, cheese, macaroni, bread, sandwich, milk, heavy cream, vegetarian]"
53013,"[minced beef, burger buns, lettuce, cheese, onion]","[american, meat, beef, burgers, minced beef, onion, lettuce, pickles, cheese, big mac]"
52854,"[flour, eggs, milk]","[breakfast, sweet, dessert, american, dairy, flour, eggs, berries, pancakes milk]"
52993,"[chicken, potatoes, broccoli]","[american, meat, chicken, oven baked, potatoes, broccoli, baking, oven, honey balsamic chicken]"
52903,"[onion, beef stock, white wine, bread]","[french, soup, onion, beef stock, garlic, bread, cheese, vegetarian]"
52908,"[aubergine, eggplant, courgette, zucchini, yellow peppers, peppers, tomatoes, red wine vinegar]","[french, vegetarian, vegan, aubergine, eggplant, courgettes, zucchini, yellow peppers, pepper, tomatoes, Ratatouille]"
52915,"[eggs, butter, parmesan, cheese]","[french, omelette, egg, butter, parmesan, cheese, vegetarian chives]"
52914,"[potatoes, onions, vegetable stock]","[french, side dish, vegetarian, potatoes, onion, thyme, vegetable stock, baking, dairy-free, gluten free]"
52815,"[lentils, carrots, garlic, thyme]","[french, vegetarian, vegan, lentils, carrots, garlic, thyme, onions, celery, dairy-free]"
52959,"[salmon, fennel, tomatoes]","[british, pescatarian, baking, keto, fish, salmon, fennel, parsley, lemon, tomatoes, black olives, dairy-free, baking]"