ingredientName,singular
all spice,allspice
allspice,allspice
ancho chillies,ancho chilli
asparagus,asparagus
aubergine,eggplant
aubergine or eggplant,eggplant
avocado,avocado
bacon,bacon
balsamic vinegar,balsamic vinegar
basil,basil
basmati rice,basmati rice
bay leaf,bay leaf
bay leaves,bay leaf
beef,beef
beef stock,beef stock
black olives,black olive
black pepper,black pepper
blueberries,blueberry
borlotti beans,borlotti bean
bowtie pasta,bowtie pasta
bread,bread
breadcrumbs,breadcrumbs
broccoli,broccoli
brown sugar,brown sugar
burger buns,burger bun
butter,butter
cabbage,cabbage
cajun,cajun
cardamom,cardamom
carrot,carrot
carrots,carrot
caster sugar,caster sugar
cayenne pepper,cayenne pepper
celery,celery
celery salt,celery salt
cheese,cheese
cherry tomatoes,cherry tomato
chicken,chicken
chicken breast,chicken breast
chicken breasts,chicken breast
chicken stock,chicken stock
chicken thigh,chicken thigh
chicken thighs,chicken thigh
chickpeas,chickpeas
chili,chili
chili flakes,chili flakes
chilli powder,chilli powder
chinese broccoli,chinese broccoli
chives,chives
chopped tomatoes,chopped tomatoes
chorizo,chorizo
cilantro,cilantro
cinnamon stick,cinnamon stick
clotted cream,clotted cream
clove,clove
cloves,clove
coconut cream,coconut cream
coconut milk,coconut milk
colby jack cheese,colby jack cheese
coriander,coriander
corn flour,corn flour
corn tortillas,corn tortillas
cornstarch,cornstarch
courgette,zucchini
courgettes or zucchini,zucchini
cream,cream
cumin,cumin
cumin seeds,cumin seeds
curry paste,curry paste
curry powder,curry powder
dal,dal
dark brown sugar,dark brown sugar
dark soy sauce,dark soy sauce
dill pickles,dill pickles
dried oregano,dried oregano
dry white wine,dry white wine
egg,egg
egg white,egg white
egg yolks,egg yolks
eggplant,eggplant
eggs,egg
enchilada sauce,enchilada sauce
fennel,fennel
fettuccine,fettuccine
fettucine,fettuccine
fish fillets,fish fillets
fish sauce,fish sauce
flour,flour
flour tortillas,flour tortillas
french lentils,french lentils
fresh thyme,fresh thyme
garam masala,garam masala
garlic,garlic
garlic clove,garlic clove
garlic powder,garlic powder
ghee,ghee
ginger,ginger
ginger cordial,ginger cordial
ginger juice,ginger juice
granulated sugar,granulated sugar
grape tomatoes,grape tomatoes
greek yogurt,greek yogurt
green beans,green beans
green chili,green chilli
green chilli,green chilli
green red lentils,green red lentils
green salsa,green salsa
ground cumin,ground cumin
gruy?re,gruyere
hard taco shells,hard taco shells
harissa spice,harissa spice
heavy cream,heavy cream
honey,honey
iceberg lettuce,iceberg lettuce
italian seasoning,italian seasoning
jalapeno,jalapeno
jasmine rice,jasmine rice
kaffir lime leaves,kaffir lime leaves
kidney beans,kidney beans
king prawns,king prawns
kosher salt,kosher salt
lamb,lamb
lasagna,lasagne sheets
lasagne sheets,lasagne sheets
lemon,lemon
lemons,lemon
lentils,lentils
lettuce,lettuce
lime,lime
little gem lettuce,little gem lettuce
macaroni,macaroni
madras paste,madras paste
marjoram,marjoram
massaman curry paste,massaman curry paste
mayonnaise,mayonnaise
mild cheddar cheese,mild cheddar cheese
milk,milk
minced beef,minced beef
mirin,mirin
monterey jack cheese,monterey jack cheese
mozzarella,mozzarella
mushroom,mushroom
mushrooms,mushroom
mustard,mustard
mustard powder,mustard powder
mustard seeds,mustard seeds
naan bread,naan bread
neutral oil,neutral oil
noodles,noodles
nutmeg,nutmeg
oil,oil
olive oil,olive oil
onion,onion
onion salt,onion salt
onions,onion
oregano,oregano
oyster sauce,oyster sauce
paneer,paneer
paprika,paprika
parmesan,parmesan cheese
parmesan cheese,parmesan cheese
parmigiano-reggiano,parmigiano-reggiano
parsley,parsley
passata,passata
peanut oil,peanut oil
peanuts,peanuts
peas,peas
pecorino,pecorino
penne,penne
penne rigate,penne rigate
pepper,pepper
peppers,peppers
plain flour,plain flour
plum tomatoes,plum tomatoes
pork,pork
pork chops,pork chops
potato starch,potato starch
potatoes,potatoes
prawns,prawns
raspberries,raspberries
red chilli flakes,red chilli flakes
red chilli,red chilli
red onions,red onions
red pepper,red pepper
red pepper flakes,red chilli flakes
red wine vinegar,red wine vinegar
refried beans,refried beans
rice,rice
rice noodles,rice noodles
rice stick noodles,rice stick noodles
rice vinegar,rice vinegar
sage,sage
sake,sake
salmon,salmon
salsa,salsa
salt,salt
sesame oil,sesame oil
sesame seed,sesame seed
sesame seed burger buns,sesame seed burger buns
sesame seed oil,sesame seed oil
shiitake mushrooms,shiitake mushrooms
shredded mexican cheese,shredded mexican cheese
smoked paprika,smoked paprika
sour cream,sour cream
soy sauce,soy sauce
soya milk,soya milk
spaghetti,spaghetti
spices,spices
spinach,spinach
spring onions,spring onions
square bread,square bread
squash,squash
starch,starch
sugar,sugar
sunflower oil,sunflower oil
taco shells,taco shells
tamarind paste,tamarind paste
tarragon,tarragon
thai fish sauce,thai fish sauce
thai green curry paste,thai green curry paste
thyme,thyme
tomato,tomato
tomato ketchup,tomato ketchup
tomato pur?e,tomato puree
tomato pur??e,tomato puree
tomato puree,tomato puree
tomatoes,tomatoes
toor dal,toor dal
tortilla,tortilla
tortillas,tortilla
turmeric,turmeric
udon,udon
udon noodles,udon
vegan butter,vegan butter
vegetable oil,vegetable oil
vegetable stock,vegetable stock
vinaigrette dressing,vinaigrette dressing
vinegar,vinegar
water,water
water chestnut,water chestnut
water chestnuts,water chestnut
white fish,white fish
white pepper,white pepper
white vinegar,white vinegar
white wine,white wine
white wine vinegar,white wine vinegar
whole milk,whole milk
wine,wine
wonton skin,wonton skin
wonton skins,wonton skin
worcestershire sauce,worcestershire sauce
yeast,yeast
yellow peppers,yellow peppers
zucchini,zucchini
